"Instance  Ins.","Status  Sta.","Variables  Var.","Binaries  Bin.","Integers  Int.","Continuous  Con.","Constraints  Con.","Nonz.  Non.","Submitter  Sub.","Group  Gro.","Objective  Obj.","Tags  Tag."
"ab51-40-100","easy","12675","12675","0","0","11893","72745","MIPLIB submission pool","ab","-10420305975","binary decomposition numerics precedence set_packing"
"ab67-40-100","easy","12812","12812","0","0","12092","75871","MIPLIB submission pool","ab","-11186253442","binary decomposition numerics precedence set_packing"
"ab69-40-100","easy","12622","12622","0","0","11911","74233","MIPLIB submission pool","ab","-11186281442","binary decomposition numerics precedence set_packing"
"ab71-20-100","easy","6689","6689","0","0","6380","41961","MIPLIB submission pool","ab","-10420305975","binary decomposition numerics precedence set_packing"
"ab72-40-100","easy","12370","12370","0","0","11671","72137","MIPLIB submission pool","ab","-11186620442","binary decomposition numerics precedence set_packing"
"amaze22012-03-15i","hard","94351","31870","2770","59711","126975","251822","Gleb Belov","amaze","0","feasibility indicator numerics aggregations precedence variable_bound set_partitioning cardinality equation_knapsack integer_knapsack mixed_binary general_linear"
"amaze22012-06-28i","easy","12691","4376","914","7401","17319","33831","Gleb Belov","amaze","0","feasibility indicator numerics aggregations precedence variable_bound set_partitioning cardinality integer_knapsack mixed_binary general_linear"
"amaze22012-07-04i","hard","31237","10654","1603","18980","42328","83384","Gleb Belov","amaze","0","feasibility indicator numerics aggregations precedence variable_bound set_partitioning cardinality integer_knapsack mixed_binary general_linear"
"app2-1","easy","3283","3283","0","0","1038","8652","Emilie Danna","app","19294.125","binary decomposition numerics variable_bound set_packing mixed_binary"
"app2-2","easy","1226","1226","0","0","335","3130","Emilie Danna","app","212040.3571429","binary decomposition numerics variable_bound set_packing mixed_binary"
"arki001","easy","1388","442","96","850","1048","20420","MIPLIB submission pool","--","7580813.0459","numerics variable_bound set_packing invariant_knapsack integer_knapsack mixed_binary general_linear"
"australia-abs-cta","easy","49758","918","0","48840","3946","33792","Jordi Castro","cta","106.9047","decomposition numerics aggregations variable_bound mixed_binary"
"bc","easy","1751","483","0","1268","1913","227072","MIPLIB submission pool","bc","7","numerics variable_bound set_packing mixed_binary general_linear"
"bc1","easy","1751","252","0","1499","1913","227072","MIPLIB submission pool","bc","3.3383625476","numerics variable_bound set_packing mixed_binary"
"bharat","open","590519","122614","0","467905","1299953","3565462","Gavin Goodall","--","4193333.93287*","numerics aggregations precedence variable_bound mixed_binary"
"bley_xl1","easy","5831","5831","0","0","175620","869391","A. Bley","bley_x","190","binary numerics aggregations variable_bound set_partitioning set_packing cardinality invariant_knapsack binpacking knapsack mixed_binary"
"bley_xs1","open","3243","2360","883","0","3290","25762","A. Bley","bley_x","3940855.47*","numerics aggregations variable_bound set_partitioning set_packing set_covering invariant_knapsack knapsack mixed_binary general_linear"
"bley_xs1noM","open","3243","2360","883","0","3290","25762","A. Bley","bley_x","3874310.51*","numerics aggregations variable_bound set_partitioning set_packing set_covering invariant_knapsack knapsack mixed_binary general_linear"
"bley_xs2","easy","2515","1632","883","0","2257","20861","A. Bley","bley_x","1051266.38","numerics aggregations variable_bound set_partitioning set_packing set_covering invariant_knapsack knapsack mixed_binary general_linear"
"bmocbd","easy","404875","125752","0","279123","153324","1277334","Sean MacDermant","bmocbd","-32041010095050","decomposition numerics aggregations variable_bound set_packing mixed_binary"
"bmocbd2","easy","403771","125467","0","278304","152791","1274240","Sean MacDermant","bmocbd","-3.195301e+13","decomposition numerics aggregations variable_bound set_packing mixed_binary"
"bmocbd3","open","403771","125467","0","278304","152791","1274240","Sean MacDermant","bmocbd","-372986719.737107*","numerics aggregations variable_bound set_packing mixed_binary"
"bmoipr2","easy","20503","8434","0","12069","13897","54649","Sean MacDermant","--","-46416168.298","decomposition numerics aggregations variable_bound set_packing mixed_binary"
"breastcancer-regularized","easy","715","692","14","9","723","8283","Berk Ustun","ustun","35.76784210526315","numerics variable_bound general_linear"
"bts4-cta","open","75400","2260","0","73140","45350","291904","Jordi Castro","cta","472243.4174959*","decomposition numerics variable_bound mixed_binary"
